subject,corr,fa,hit,miss,condition,participant,hit_rate,false_rate,z_hit_rate,z_false_rate,d_prime,precision,recall,ff1
p01,11,1,6,9,boundary,p01,0.4,0.08333333333333333,0.9320301699535668,0.07740455968213895,0.8546256102714278,0.8571428571428571,0.4,0.5454545454545454
p02,10,0,5,8,boundary,p02,0.38461538461538464,0.0,0.80966186304218,-0.8256486366094818,1.6353104996516619,1.0,0.38461538461538464,0.5555555555555556
p02a,8,1,2,11,boundary,p02,0.15384615384615385,0.1111111111111111,-1.0258627406286216,0.3784222917793459,-1.4042850324079674,0.6666666666666666,0.15384615384615385,0.25
p03,7,2,3,10,boundary,p03,0.23076923076923078,0.2222222222222222,-0.4140212060716877,1.5824932201681734,-1.996514426239861,0.6,0.23076923076923078,0.3333333333333333
p03a,7,0,4,9,boundary,p03,0.3076923076923077,0.0,0.19782032848524614,-0.8256486366094818,1.023468965094728,1.0,0.3076923076923077,0.47058823529411764
p04,8,0,3,10,boundary,p04,0.23076923076923078,0.0,-0.4140212060716877,-0.8256486366094818,0.41162743053779416,1.0,0.23076923076923078,0.375
p04a,8,0,2,11,boundary,p04,0.15384615384615385,0.0,-1.0258627406286216,-0.8256486366094818,-0.20021410401913975,1.0,0.15384615384615385,0.26666666666666666
p05,8,2,4,9,boundary,p05,0.3076923076923077,0.2,0.19782032848524614,1.3416790344904082,-1.143858706005162,0.6666666666666666,0.3076923076923077,0.42105263157894735
p05a,7,2,3,10,boundary,p05,0.23076923076923078,0.2222222222222222,-0.4140212060716877,1.5824932201681734,-1.996514426239861,0.6,0.23076923076923078,0.3333333333333333
p06,8,2,7,6,boundary,p06,0.5384615384615384,0.2,2.033344932156047,1.3416790344904082,0.6916658976656389,0.7777777777777778,0.5384615384615384,0.6363636363636364
p07,9,0,6,7,boundary,p07,0.46153846153846156,0.0,1.4215033975991138,-0.8256486366094818,2.2471520342085958,1.0,0.46153846153846156,0.6315789473684211
p07a,8,1,0,13,boundary,p07,0.0,0.1111111111111111,-2.2495458097424894,0.3784222917793459,-2.6279681015218355,0.0,0.0,0.0
p01,8,0,7,20,no_boundary,p01,0.25925925925925924,0.0,-0.1874132303098606,-0.8256486366094818,0.6382354062996213,1.0,0.25925925925925924,0.4117647058823529
p02,7,0,8,15,no_boundary,p02,0.34782608695652173,0.0,0.5170419986888636,-0.8256486366094818,1.3426906352983454,1.0,0.34782608695652173,0.5161290322580645
p02a,8,0,8,14,no_boundary,p02,0.36363636363636365,0.0,0.6427959899811979,-0.8256486366094818,1.4684446265906796,1.0,0.36363636363636365,0.5333333333333333
p03,5,2,4,19,no_boundary,p03,0.17391304347826086,0.2857142857142857,-0.8662519055268129,2.270533750676075,-3.1367856562028877,0.6666666666666666,0.17391304347826086,0.27586206896551724
p03a,10,0,7,16,no_boundary,p03,0.30434782608695654,0.0,0.1712185226349447,-0.8256486366094818,0.9968671592444265,1.0,0.30434782608695654,0.4666666666666667
p04,9,0,7,16,no_boundary,p04,0.30434782608695654,0.0,0.1712185226349447,-0.8256486366094818,0.9968671592444265,1.0,0.30434782608695654,0.4666666666666667
p04a,8,0,7,16,no_boundary,p04,0.30434782608695654,0.0,0.1712185226349447,-0.8256486366094818,0.9968671592444265,1.0,0.30434782608695654,0.4666666666666667
p05,7,0,4,18,no_boundary,p05,0.18181818181818182,0.0,-0.8033749098806456,-0.8256486366094818,0.022273726728836207,1.0,0.18181818181818182,0.3076923076923077
p05a,7,1,3,20,no_boundary,p05,0.13043478260869565,0.125,-1.212075381580732,0.5289311578279494,-1.7410065394086813,0.75,0.13043478260869565,0.2222222222222222
p06,6,1,9,13,no_boundary,p06,0.4090909090909091,0.14285714285714285,1.004338714946659,0.7224425570332966,0.2818961579133623,0.9,0.4090909090909091,0.5625
p07,7,1,3,20,no_boundary,p07,0.13043478260869565,0.125,-1.212075381580732,0.5289311578279494,-1.7410065394086813,0.75,0.13043478260869565,0.2222222222222222
p07a,8,0,11,12,no_boundary,p07,0.4782608695652174,0.0,1.5545124268506212,-0.8256486366094818,2.380161063460103,1.0,0.4782608695652174,0.6470588235294118
