Column1,onset_sec,offset,midi_pitch,duration,freq,boundary,changable_note
16,0.25,0.485416667,60,0.235416667,261.6255653,0,0
18,0.5,0.735416667,62,0.235416667,293.6647679,0,0
20,0.75,0.985416667,64,0.235416667,329.6275569,0,0
22,1,1.235416667,65,0.235416667,349.2282314,0,1
24,1.25,1.485416667,62,0.235416667,293.6647679,0,0
26,1.5,1.735416667,64,0.235416667,329.6275569,0,0
28,1.75,1.985416667,60,0.235416667,261.6255653,0,0
30,2,2.472916667,67,0.472916667,391.995436,0,1
32,2.5,2.972916667,72,0.472916667,523.2511306,0,0
34,3,3.472916667,71,0.472916667,493.8833013,0,1
36,3.5,3.972916667,72,0.472916667,523.2511306,0,0
38,4,4.235416667,74,0.235416667,587.3295358,0,1
40,4.25,4.485416667,67,0.235416667,391.995436,0,0
42,4.5,4.735416667,69,0.235416667,440,0,0
44,4.75,4.985416667,71,0.235416667,493.8833013,0,0
46,5,5.235416667,72,0.235416667,523.2511306,0,1
48,5.25,5.485416667,69,0.235416667,440,0,0
50,5.5,5.735416667,71,0.235416667,493.8833013,0,0
52,5.75,5.985416667,67,0.235416667,391.995436,0,0
54,6,6.472916667,74,0.472916667,587.3295358,0,1
56,6.5,6.972916667,79,0.472916667,783.990872,0,0
58,7,8.185416667,67,1.185416667,391.995436,0,1
60,8.25,8.485416667,79,0.235416667,783.990872,1,1
62,8.5,8.735416667,67,0.235416667,391.995436,0,0
64,8.75,8.985416667,79,0.235416667,783.990872,0,0
66,9,9.235416667,79,0.235416667,783.990872,0,0
68,9.25,9.485416667,81,0.235416667,880,0,0
70,9.5,9.735416667,79,0.235416667,783.990872,0,0
72,9.75,9.985416667,81,0.235416667,880,0,0
74,10,10.23541667,77,0.235416667,698.4564629,0,1
76,10.25,10.48541667,77,0.235416667,698.4564629,0,0
78,10.5,10.73541667,65,0.235416667,349.2282314,0,0
80,10.75,10.98541667,77,0.235416667,698.4564629,0,0
82,11,11.23541667,77,0.235416667,698.4564629,0,1
84,11.25,11.48541667,79,0.235416667,783.990872,0,0
86,11.5,11.73541667,77,0.235416667,698.4564629,0,0
88,11.75,11.98541667,79,0.235416667,783.990872,0,0
90,12,12.23541667,76,0.235416667,659.2551138,0,1
92,12.25,12.48541667,67,0.235416667,391.995436,0,0
94,12.5,12.73541667,72,0.235416667,523.2511306,0,0
96,12.75,12.98541667,74,0.235416667,587.3295358,0,0
98,13,13.23541667,76,0.235416667,659.2551138,0,1
100,13.25,13.48541667,67,0.235416667,391.995436,0,0
102,13.5,13.73541667,72,0.235416667,523.2511306,0,0
104,13.75,13.98541667,74,0.235416667,587.3295358,0,0
106,14,14.11666667,76,0.116666667,659.2551138,0,1
108,14.125,14.24166667,77,0.116666667,698.4564629,0,0
110,14.25,14.36666667,74,0.116666667,587.3295358,0,0
112,14.375,14.49166667,76,0.116666667,659.2551138,0,0
114,14.5,14.97291667,72,0.472916667,523.2511306,0,0
116,15,15.47291667,67,0.472916667,391.995436,0,1
118,15.5,15.97291667,72,0.472916667,523.2511306,0,0
120,16,16.94791667,60,0.947916667,261.6255653,1,1
122,17,17.94791667,62,0.947916667,293.6647679,0,1
124,18,18.94791667,64,0.947916667,329.6275569,0,1
126,19,19.94791667,65,0.947916667,349.2282314,0,1
128,20,20.47291667,65,0.472916667,349.2282314,0,1
130,20.5,20.97291667,64,0.472916667,329.6275569,0,0
132,21,21.47291667,62,0.472916667,293.6647679,0,1
134,21.5,21.97291667,67,0.472916667,391.995436,0,0
136,22,22.47291667,64,0.472916667,329.6275569,0,1
138,22.5,22.73541667,62,0.235416667,293.6647679,0,0
140,22.75,22.98541667,64,0.235416667,329.6275569,0,0
142,23,24.42291667,60,1.422916667,261.6255653,0,1
144,24.5,24.73541667,67,0.235416667,391.995436,1,1
146,24.75,24.98541667,64,0.235416667,329.6275569,0,0
148,25,25.47291667,69,0.472916667,440,0,0
150,25.5,25.97291667,67,0.472916667,391.995436,0,0
152,26,26.47291667,65,0.472916667,349.2282314,0,1
154,26.5,26.73541667,64,0.235416667,329.6275569,0,0
156,26.75,26.98541667,62,0.235416667,293.6647679,0,0
158,27,27.23541667,67,0.235416667,391.995436,0,1
160,27.25,27.48541667,69,0.235416667,440,0,0
162,27.5,27.73541667,65,0.235416667,349.2282314,0,0
164,27.75,27.98541667,67,0.235416667,391.995436,0,0
166,28,28.23541667,64,0.235416667,329.6275569,0,1
168,28.25,28.48541667,65,0.235416667,349.2282314,0,0
170,28.5,28.97291667,67,0.472916667,391.995436,0,0
172,29,29.47291667,67,0.472916667,391.995436,0,1
174,29.5,29.97291667,65,0.472916667,349.2282314,0,0
176,30,30.23541667,64,0.235416667,329.6275569,0,1
178,30.25,30.48541667,65,0.235416667,349.2282314,0,0
180,30.5,30.73541667,67,0.235416667,391.995436,0,0
182,30.75,30.98541667,69,0.235416667,440,0,0
184,31,31.47291667,62,0.472916667,293.6647679,0,1
186,31.5,31.97291667,60,0.472916667,261.6255653,0,0
188,32,32.47291667,72,0.472916667,523.2511306,1,1
190,32.5,32.73541667,71,0.235416667,493.8833013,0,0
192,32.75,32.98541667,72,0.235416667,523.2511306,0,0
194,33,33.47291667,74,0.472916667,587.3295358,0,1
196,33.5,33.73541667,72,0.235416667,523.2511306,0,0
198,33.75,33.98541667,71,0.235416667,493.8833013,0,0
200,34,34.94791667,72,0.947916667,523.2511306,0,1
202,35,35.23541667,72,0.235416667,523.2511306,0,1
204,35.25,35.48541667,74,0.235416667,587.3295358,0,0
206,35.5,35.73541667,71,0.235416667,493.8833013,0,0
208,35.75,35.98541667,72,0.235416667,523.2511306,0,0
210,36,36.23541667,74,0.235416667,587.3295358,0,1
212,36.25,36.48541667,67,0.235416667,391.995436,0,0
214,36.5,36.73541667,76,0.235416667,659.2551138,0,0
216,36.75,36.98541667,67,0.235416667,391.995436,0,0
218,37,37.23541667,77,0.235416667,698.4564629,0,1
220,37.25,37.48541667,67,0.235416667,391.995436,0,0
222,37.5,37.97291667,79,0.472916667,783.990872,0,0
224,38,38.23541667,76,0.235416667,659.2551138,0,1
226,38.25,38.48541667,74,0.235416667,587.3295358,0,0
228,38.5,38.73541667,72,0.235416667,523.2511306,0,0
230,38.75,38.98541667,74,0.235416667,587.3295358,0,0
232,39,39.47291667,71,0.472916667,493.8833013,0,1
234,39.5,40.44791667,72,0.947916667,523.2511306,0,0
236,40.5,40.97291667,67,0.472916667,391.995436,1,1
238,41,41.47291667,64,0.472916667,329.6275569,0,0
240,41.5,41.97291667,69,0.472916667,440,0,0
242,42,42.47291667,62,0.472916667,293.6647679,0,1
244,42.5,42.73541667,64,0.235416667,329.6275569,0,0
246,42.75,42.98541667,65,0.235416667,349.2282314,0,0
248,43,43.47291667,67,0.472916667,391.995436,0,0
250,43.5,43.97291667,55,0.472916667,195.997718,0,0
252,44,44.47291667,60,0.472916667,261.6255653,0,1
254,44.5,44.73541667,62,0.235416667,293.6647679,0,0
256,44.75,44.98541667,64,0.235416667,329.6275569,0,0
258,45,45.23541667,65,0.235416667,349.2282314,0,1
260,45.25,45.48541667,67,0.235416667,391.995436,0,0
262,45.5,45.73541667,64,0.235416667,329.6275569,0,0
264,45.75,45.98541667,65,0.235416667,349.2282314,0,0
266,46,46.23541667,62,0.235416667,293.6647679,0,1
268,46.25,46.48541667,64,0.235416667,329.6275569,0,0
270,46.5,46.73541667,65,0.235416667,349.2282314,0,0
272,46.75,46.98541667,67,0.235416667,391.995436,0,0
274,47,47.94791667,60,0.947916667,261.6255653,0,1
276,48,48.23541667,72,0.235416667,523.2511306,1,1
278,48.25,48.48541667,74,0.235416667,587.3295358,0,0
280,48.5,48.73541667,76,0.235416667,659.2551138,0,0
282,48.75,48.98541667,72,0.235416667,523.2511306,0,0
284,49,49.23541667,67,0.235416667,391.995436,0,1
286,49.25,49.48541667,76,0.235416667,659.2551138,0,0
288,49.5,49.73541667,74,0.235416667,587.3295358,0,0
290,49.75,49.98541667,72,0.235416667,523.2511306,0,0
292,50,50.23541667,74,0.235416667,587.3295358,0,1
294,50.25,50.48541667,76,0.235416667,659.2551138,0,0
296,50.5,50.73541667,77,0.235416667,698.4564629,0,0
298,50.75,50.98541667,74,0.235416667,587.3295358,0,0
300,51,51.23541667,67,0.235416667,391.995436,0,1
302,51.25,51.48541667,77,0.235416667,698.4564629,0,0
304,51.5,51.73541667,76,0.235416667,659.2551138,0,0
306,51.75,51.98541667,74,0.235416667,587.3295358,0,0
308,52,52.23541667,76,0.235416667,659.2551138,0,1
310,52.25,52.48541667,72,0.235416667,523.2511306,0,0
312,52.5,52.73541667,81,0.235416667,880,0,0
314,52.75,52.98541667,79,0.235416667,783.990872,0,0
316,53,53.23541667,77,0.235416667,698.4564629,0,1
318,53.25,53.48541667,76,0.235416667,659.2551138,0,0
320,53.5,53.73541667,74,0.235416667,587.3295358,0,0
322,53.75,53.98541667,72,0.235416667,523.2511306,0,0
324,54,54.23541667,67,0.235416667,391.995436,0,1
326,54.25,54.48541667,69,0.235416667,440,0,0
328,54.5,54.73541667,71,0.235416667,493.8833013,0,0
330,54.75,54.98541667,67,0.235416667,391.995436,0,0
332,55,56.42291667,72,1.422916667,523.2511306,0,1
334,56.5,56.97291667,60,0.472916667,261.6255653,1,1
336,57,57.47291667,60,0.472916667,261.6255653,0,0
338,57.5,57.97291667,62,0.472916667,293.6647679,0,0
340,58,58.47291667,62,0.472916667,293.6647679,0,1
342,58.5,58.73541667,64,0.235416667,329.6275569,0,0
344,58.75,58.98541667,65,0.235416667,349.2282314,0,0
346,59,59.47291667,67,0.472916667,391.995436,0,1
348,59.5,59.73541667,65,0.235416667,349.2282314,0,0
350,59.75,59.98541667,67,0.235416667,391.995436,0,0
352,60,60.47291667,69,0.472916667,440,0,1
354,60.5,60.97291667,67,0.472916667,391.995436,0,0
356,61,61.47291667,65,0.472916667,349.2282314,0,1
358,61.5,61.73541667,64,0.235416667,329.6275569,0,0
360,61.75,61.98541667,62,0.235416667,293.6647679,0,0
362,62,63.89791667,60,1.897916667,261.6255653,0,0
